ubigeo,Departamento,Provincia,Distrito,desertor,denominador,Tasa
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,17,4146,0.41003376748673415
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,0,12,0.0
10103,AMAZONAS,CHACHAPOYAS,BALSAS,0,168,0.0
10104,AMAZONAS,CHACHAPOYAS,CHETO,0,44,0.0
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,3,62,4.838709677419355
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,4,259,1.5444015444015444
10107,AMAZONAS,CHACHAPOYAS,GRANADA,0,37,0.0
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,0,22,0.0
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,2,750,0.26666666666666666
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,6,379,1.58311345646438
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,0,70,0.0
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,0,86,0.0
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,0,73,0.0
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,1,236,0.423728813559322
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,0,36,0.0
10116,AMAZONAS,CHACHAPOYAS,OLLEROS,0,27,0.0
10117,AMAZONAS,CHACHAPOYAS,QUINJALCA,0,52,0.0
10118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,0,10,0.0
10119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,0,74,0.0
10120,AMAZONAS,CHACHAPOYAS,SOLOCO,0,93,0.0
10121,AMAZONAS,CHACHAPOYAS,SONCHE,0,31,0.0
10201,AMAZONAS,BAGUA,BAGUA,15,3238,0.46324891908585547
10202,AMAZONAS,BAGUA,ARAMANGO,20,1406,1.422475106685633
10203,AMAZONAS,BAGUA,COPALLIN,4,401,0.997506234413965
10204,AMAZONAS,BAGUA,EL PARCO,2,114,1.7543859649122806
10205,AMAZONAS,BAGUA,IMAZA,519,8723,5.949787917001031
10206,AMAZONAS,BAGUA,LA PECA,2,904,0.22123893805309736
