ubigeo,Departamento,Provincia,Distrito,desertor,denominador,Tasa
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,42,3421,1.2277111955568547
10103,AMAZONAS,CHACHAPOYAS,BALSAS,5,125,4.0
10104,AMAZONAS,CHACHAPOYAS,CHETO,0,54,0.0
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,7,171,4.093567251461988
10107,AMAZONAS,CHACHAPOYAS,GRANADA,0,62,0.0
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,13,654,1.9877675840978593
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,15,325,4.615384615384616
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,3,58,5.172413793103448
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,0,74,0.0
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,4,52,7.6923076923076925
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,5,192,2.604166666666667
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,0,47,0.0
10118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,2,27,7.4074074074074066
10119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,2,56,3.571428571428571
10120,AMAZONAS,CHACHAPOYAS,SOLOCO,0,48,0.0
10201,AMAZONAS,BAGUA,BAGUA,74,2806,2.6372059871703493
10202,AMAZONAS,BAGUA,ARAMANGO,38,1055,3.6018957345971563
10203,AMAZONAS,BAGUA,COPALLIN,2,280,0.7142857142857143
10204,AMAZONAS,BAGUA,EL PARCO,0,79,0.0
10205,AMAZONAS,BAGUA,IMAZA,235,5518,4.258789416455238
10206,AMAZONAS,BAGUA,LA PECA,13,588,2.2108843537414966
10301,AMAZONAS,BONGARA,JUMBILLA,1,130,0.7692307692307693
10304,AMAZONAS,BONGARA,COROSHA,2,80,2.5
10306,AMAZONAS,BONGARA,FLORIDA,7,576,1.215277777777778
10307,AMAZONAS,BONGARA,JAZAN,29,967,2.998965873836608
10310,AMAZONAS,BONGARA,SHIPASBAMBA,0,66,0.0
10312,AMAZONAS,BONGARA,YAMBRASBAMBA,18,559,3.2200357781753133
10401,AMAZONAS,CONDORCANQUI,NIEVA,32,4216,0.7590132827324478
10402,AMAZONAS,CONDORCANQUI,EL CENEPA,50,2137,2.339728591483388
10403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,68,2937,2.3152877085461356
10501,AMAZONAS,LUYA,LAMUD,3,493,0.6085192697768762
10502,AMAZONAS,LUYA,CAMPORREDONDO,27,793,3.4047919293820934
10503,AMAZONAS,LUYA,COCABAMBA,8,148,5.405405405405405
10504,AMAZONAS,LUYA,COLCAMAR,2,120,1.6666666666666667
10505,AMAZONAS,LUYA,CONILA,0,130,0.0
10506,AMAZONAS,LUYA,INGUILPATA,0,20,0.0
10507,AMAZONAS,LUYA,LONGUITA,0,70,0.0
10508,AMAZONAS,LUYA,LONYA CHICO,0,34,0.0
10509,AMAZONAS,LUYA,LUYA,3,404,0.7425742574257426
10511,AMAZONAS,LUYA,MARIA,0,91,0.0
10512,AMAZONAS,LUYA,OCALLI,5,345,1.4492753623188406
10513,AMAZONAS,LUYA,OCUMAL,11,396,2.7777777777777777
10514,AMAZONAS,LUYA,PISUQUIA,25,480,5.208333333333334
10515,AMAZONAS,LUYA,PROVIDENCIA,6,120,5.0
10516,AMAZONAS,LUYA,SAN CRISTOBAL,0,53,0.0
10517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,0,22,0.0
10519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,5,66,7.575757575757576
10520,AMAZONAS,LUYA,SANTA CATALINA,0,181,0.0
10521,AMAZONAS,LUYA,SANTO TOMAS,8,211,3.7914691943127963
10522,AMAZONAS,LUYA,TINGO,3,90,3.3333333333333335
10523,AMAZONAS,LUYA,TRITA,4,160,2.5
10601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,12,758,1.58311345646438
10602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,3,283,1.0600706713780919
10603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,1,102,0.9803921568627451
10604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,1,122,0.819672131147541
10605,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,2,126,1.5873015873015872
10606,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,3,106,2.8301886792452833
10607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,2,76,2.631578947368421
10608,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,0,34,0.0
10609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,16,1021,1.5670910871694417
10612,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,27,352,7.670454545454546
10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,90,5478,1.642935377875137
10702,AMAZONAS,UTCUBAMBA,CAJARURO,25,2219,1.1266336187471835
10703,AMAZONAS,UTCUBAMBA,CUMBA,10,888,1.1261261261261262
10704,AMAZONAS,UTCUBAMBA,EL MILAGRO,10,450,2.2222222222222223
10705,AMAZONAS,UTCUBAMBA,JAMALCA,4,842,0.4750593824228029
10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,3,929,0.32292787944025836
10707,AMAZONAS,UTCUBAMBA,YAMON,0,298,0.0
20101,ANCASH,HUARAZ,HUARAZ,170,5079,3.3471155739318763
20102,ANCASH,HUARAZ,COCHABAMBA,0,120,0.0
20104,ANCASH,HUARAZ,HUANCHAY,9,124,7.258064516129033
